"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"FullMedicinalProduct","FullMedicinalProduct","","","",0,*,"","","","","Medicinal Product","Medicinal Product","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FullMedicinalProduct.mpId","FullMedicinalProduct.mpId","","","",1,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/II]]} {[]}
","Medicinal Product Identifier (MPID)","Medicinal Product Identifier (MPID)","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.mpId",1,1,"",""
"FullMedicinalProduct.pmsId","FullMedicinalProduct.pmsId","","","",0,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/II]]} {[]}
","EMA PMS Identifier","EMA PMS Identifier","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.pmsId",0,1,"",""
"FullMedicinalProduct.nationalId","FullMedicinalProduct.nationalId","","","",0,*,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/II]]} {[]}
","National/other identifier","National/other identifier","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.nationalId",0,*,"",""
"FullMedicinalProduct.domain","FullMedicinalProduct.domain","","","",1,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/CD]]} {[]}
","Domain (human/veterinary)","Domain (human/veterinary)","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.domain",1,1,"",""
"FullMedicinalProduct.legalStatusOfSupply","FullMedicinalProduct.legalStatusOfSupply","","","",1,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/CD]]} {[]}
","Legal status of supply","Legal status of supply","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.legalStatusOfSupply",1,1,"",""
"FullMedicinalProduct.authorisedDoseForm","FullMedicinalProduct.authorisedDoseForm","","","",1,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/CD]]} {[]}
","Authorised dose form","Authorised dose form","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.authorisedDoseForm",1,1,"",""
"FullMedicinalProduct.classificationATC","FullMedicinalProduct.classificationATC","","","",1,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/CD]]} {[]}
","ATC Classification","ATC Classification","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.classificationATC",1,1,"",""
"FullMedicinalProduct.name","FullMedicinalProduct.name","","","",1,*,"","","","BackboneElement {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/class]]} {[]}
","Name","Name","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.name",1,*,"",""
"FullMedicinalProduct.name.fullName","FullMedicinalProduct.name.fullName","","","",1,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/ST]]} {[]}
","Full name","Full name","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.name.fullName",1,1,"",""
"FullMedicinalProduct.name.nameParts","FullMedicinalProduct.name.nameParts","","","",0,3,"","","","BackboneElement {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/class]]} {[]}
","Name parts","Name parts","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.name.nameParts",0,3,"",""
"FullMedicinalProduct.name.nameParts.inventedName","FullMedicinalProduct.name.nameParts.inventedName","","","",1,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/ST]]} {[]}
","Invented name part","Invented name part","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.name.nameParts.inventedName",1,1,"",""
"FullMedicinalProduct.name.nameParts.strength","FullMedicinalProduct.name.nameParts.strength","","","",0,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/ST]]} {[]}
","Strength part","Strength part","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.name.nameParts.strength",0,1,"",""
"FullMedicinalProduct.name.nameParts.doseForm","FullMedicinalProduct.name.nameParts.doseForm","","","",0,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/ST]]} {[]}
","Dose form part","Dose form part","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.name.nameParts.doseForm",0,1,"",""
"FullMedicinalProduct.name.nameUsage","FullMedicinalProduct.name.nameUsage","","","",0,*,"","","","BackboneElement {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/class]]} {[]}
","Countries and languages where the name is used","Countries and languages where the name is used","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.name.nameUsage",0,*,"",""
"FullMedicinalProduct.name.nameUsage.jurisdiction","FullMedicinalProduct.name.nameUsage.jurisdiction","","","",1,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/ST]]} {[]}
","Country","Country","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.name.nameUsage.jurisdiction",1,1,"",""
"FullMedicinalProduct.name.nameUsage.language","FullMedicinalProduct.name.nameUsage.language","","","",1,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/ST]]} {[]}
","Language","Language","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.name.nameUsage.language",1,1,"",""
"FullMedicinalProduct.marketingAuthorization","FullMedicinalProduct.marketingAuthorization","","","",0,*,"","","","BackboneElement {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/class]]} {[]}
","Marketing Authorization(s) for the product","Marketing Authorization(s) for the product","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.marketingAuthorization",0,*,"",""
"FullMedicinalProduct.marketingAuthorization.marketingAuthorisationNumber","FullMedicinalProduct.marketingAuthorization.marketingAuthorisationNumber","","","",1,*,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/II]]} {[]}
","Marketing authorisation number","Marketing authorisation number","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.marketingAuthorization.marketingAuthorisationNumber",1,*,"",""
"FullMedicinalProduct.marketingAuthorization.region","FullMedicinalProduct.marketingAuthorization.region","","","",1,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/CD]]} {[]}
","Region","Region","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.marketingAuthorization.region",1,1,"",""
"FullMedicinalProduct.marketingAuthorization.marketingAuthorisationStatus","FullMedicinalProduct.marketingAuthorization.marketingAuthorisationStatus","","","",1,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/CD]]} {[]}
","Marketing authorisation status","Marketing authorisation status","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.marketingAuthorization.marketingAuthorisationStatus",1,1,"",""
"FullMedicinalProduct.marketingAuthorization.date","FullMedicinalProduct.marketingAuthorization.date","","","",0,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/DT]]} {[]}
","Status date","Status date","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.marketingAuthorization.date",0,1,"",""
"FullMedicinalProduct.marketingAuthorization.marketingAuthorisationHolder","FullMedicinalProduct.marketingAuthorization.marketingAuthorisationHolder","","","",1,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/II]]} {[]}
","MAH","MAH","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.marketingAuthorization.marketingAuthorisationHolder",1,1,"",""
"FullMedicinalProduct.marketingAuthorization.locationId","FullMedicinalProduct.marketingAuthorization.locationId","","","",1,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/II]]} {[]}
","Location identifier","Location identifier","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.marketingAuthorization.locationId",1,1,"",""
"FullMedicinalProduct.marketingAuthorization.organisationId","FullMedicinalProduct.marketingAuthorization.organisationId","","","",0,1,"","","","Element {[CanonicalType[https://build.fhir.org/ig/hl7-eu/unicom-ig/branches/mpd-r5/StructureDefinition/II]]} {[]}
","Organization identifier","Organization identifier","","","","","","","","","",,,,,"",,,,"FullMedicinalProduct.marketingAuthorization.organisationId",0,1,"",""
