"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"SctClinicalDrug","SctClinicalDrug","","","",0,*,"","","","null {[]} {[]}
","SNOMED CT Clinical Drug","SNOMED CT Clinical Drug concept as logical data model","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"SctClinicalDrug.manufacturedDoseForm","SctClinicalDrug.manufacturedDoseForm","","","",0,1,"","","","code {[]} {[]}
","Attribute |Has manufactured dose form|","Attribute |Has manufactured dose form|","","","","","","","","","",,,,,"",,,,"SctClinicalDrug.manufacturedDoseForm",0,1,"",""
"SctClinicalDrug.unitOfPresentation","SctClinicalDrug.unitOfPresentation","","","",0,1,"","","","code {[]} {[]}
","Attribute |Has unit of presentation|","Attribute |Has unit of presentation|","","","","","","","","","",,,,,"",,,,"SctClinicalDrug.unitOfPresentation",0,1,"",""
"SctClinicalDrug.unitOfPresentationSizeQuantity","SctClinicalDrug.unitOfPresentationSizeQuantity","","","",0,1,"","","","decimal {[]} {[]}
","Attribute |Unit of presentation size quantity|","Attribute |Unit of presentation size quantity|","","","","","","","","","",,,,,"",,,,"SctClinicalDrug.unitOfPresentationSizeQuantity",0,1,"",""
"SctClinicalDrug.unitOfPresenationSizeUnit","SctClinicalDrug.unitOfPresenationSizeUnit","","","",0,1,"","","","code {[]} {[]}
","Attribute |Unit of presentation size unit|","Attribute |Unit of presentation size unit|","","","","","","","","","",,,,,"",,,,"SctClinicalDrug.unitOfPresenationSizeUnit",0,1,"",""
"SctClinicalDrug.baseActiveIngredientCount","SctClinicalDrug.baseActiveIngredientCount","","","",0,1,"","","","integer {[]} {[]}
","Attribute |Count of base of active ingredient|","Attribute |Count of base of active ingredient|","","","","","","","","","",,,,,"",,,,"SctClinicalDrug.baseActiveIngredientCount",0,1,"",""
"SctClinicalDrug.activeIngredientCount","SctClinicalDrug.activeIngredientCount","","","",0,1,"","","","integer {[]} {[]}
","Attribute |Count of active ingredient|","Attribute |Count of active ingredient|","","","","","","","","","",,,,,"",,,,"SctClinicalDrug.activeIngredientCount",0,1,"",""
"SctClinicalDrug.ingredient","SctClinicalDrug.ingredient","","","",0,*,"","","","BackboneElement {[]} {[]}
","Active ingredients and strengths of the manufactured product","Active ingredients and strengths of the manufactured product","","","","","","","","","",,,,,"",,,,"SctClinicalDrug.ingredient",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SctClinicalDrug.ingredient.id","SctClinicalDrug.ingredient.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"SctClinicalDrug.ingredient.extension","SctClinicalDrug.ingredient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SctClinicalDrug.ingredient.modifierExtension","SctClinicalDrug.ingredient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SctClinicalDrug.ingredient.preciseActiveIngredient","SctClinicalDrug.ingredient.preciseActiveIngredient","","","",0,1,"","","","code {[]} {[]}
","Attribute |Has precise active ingredient|","Attribute |Has precise active ingredient|","","","","","","","","","",,,,,"",,,,"SctClinicalDrug.ingredient.preciseActiveIngredient",0,1,"",""
"SctClinicalDrug.ingredient.basisOfStrengthSubstance","SctClinicalDrug.ingredient.basisOfStrengthSubstance","","","",0,*,"","","","code {[]} {[]}
","Attribute |Has basis of strength substance|. Maps to reference strength substance in IDMP.","Attribute |Has basis of strength substance|. Maps to reference strength substance in IDMP.","","","","","","","","","",,,,,"",,,,"SctClinicalDrug.ingredient.basisOfStrengthSubstance",0,*,"",""
"SctClinicalDrug.ingredient.strength","SctClinicalDrug.ingredient.strength","","","",0,1,"","","","BackboneElement {[]} {[]}
","Amount of the substance recorded as basis of strength","Amount of the substance recorded as basis of strength","","","","","","","","","",,,,,"",,,,"SctClinicalDrug.ingredient.strength",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SctClinicalDrug.ingredient.strength.id","SctClinicalDrug.ingredient.strength.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
