URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://unicom-project.eu/fhir/ValueSet/administration-device,0.1.0,active,,AdministrationDevice,EDQM Administration Device,"ValueSet Administration device from EDQM, DEV, see https://standardterms.edqm.eu/#",,"Other"
http://unicom-project.eu/fhir/ValueSet/administration-method,0.1.0,active,,AdministrationMethod,EDQM Administration Method,"ValueSet Administration method from EDQM, AME, see https://standardterms.edqm.eu/#",,"Other"
http://unicom-project.eu/fhir/ValueSet/all-units-vs,0.1.0,draft,,AllUnits,EMA SPOR All Units Combined,"Value set for presentation strength denominator unit, combines units of measurement and units of presentation.","StructureDefinition/PPLIngredient,StructureDefinition/PPLPackagedProductDefinition","Internal"
http://unicom-project.eu/fhir/ValueSet/atc-spor-vs,0.1.0,draft,,SporAtc,EMA SPOR ATC,"Value set for Anatomical Therapeutic Chemical classification system Human and Veterinary. It combines 2 SPOR/WHO lists","StructureDefinition/PPLMedicinalProductDefinition,StructureDefinition/TransitionMedicinalProductDefinition","Internal"
http://unicom-project.eu/fhir/ValueSet/authorised-doseform-vs,0.1.0,draft,,AuthorisedDoseForm,EMA SPOR Authorised Dose Form,"Value set for authorised dose form. Combines 4 SPOR/EDQM lists: Pharmaceutical dose form, Combined pharmaceutical dose form, Combined term, Combination package.","StructureDefinition/PPLMedicinalProductDefinition","Internal"
http://unicom-project.eu/fhir/ValueSet/basic-dose-form,0.1.0,active,,BasicDoseForm,EDQM Basic Dose Form,"ValueSet Basic dose form from EDQM, BDF, see https://standardterms.edqm.eu/#",,"Other"
http://unicom-project.eu/fhir/ValueSet/closure,0.1.0,active,,Closure,EDQM Closure,"ValueSet Closure (for package description) from EDQM, CLO, see https://standardterms.edqm.eu/#",,"Other"
http://unicom-project.eu/fhir/ValueSet/combination-pack,0.1.0,active,,CombinationPack,EDQM Combination Pack,"ValueSet Combination pack (dose form) from EDQM, CMP, see https://standardterms.edqm.eu/#",,"Other"
http://unicom-project.eu/fhir/ValueSet/combined-pharmaceutical-dose-form,0.1.0,active,,CombinedPharmaceuticalDoseForm,EDQM Combined Pharmaceutical Dose Form,"ValueSet Combined pharmaceutical dose form from EDQM, CDF, see https://standardterms.edqm.eu/#",,"Other"
http://unicom-project.eu/fhir/ValueSet/combined-term,0.1.0,active,,CombinedTerm,EDQM Combined Term,"ValueSet Combined term (dose form) from EDQM, CMT, see https://standardterms.edqm.eu/#",,"Other"
http://unicom-project.eu/fhir/ValueSet/container,0.1.0,active,,Container,EDQM Container,"ValueSet Container (package type) from EDQM, CON, see https://standardterms.edqm.eu/#",,"Other"
http://unicom-project.eu/fhir/ValueSet/country-ema-vs,0.1.0,draft,,CountryEMA,EMA SPOR Country,"Countries. EMA SPOR RMS list.","StructureDefinition/PPLMedicinalProductDefinition,StructureDefinition/PPLPackagedProductDefinition,StructureDefinition/PPLRegulatedAuthorization","Internal"
http://unicom-project.eu/fhir/ValueSet/country-iso-vs,0.1.0,draft,,CountryISO,Country (ISO 3166-1-2),"Countries","StructureDefinition/PPLMedicinalProductDefinition","Other"
http://unicom-project.eu/fhir/ValueSet/domain-vs,0.1.0,draft,,Domain,EMA SPOR Domain,"Domain of the medicinal product. EMA SPOR RMS list.","StructureDefinition/PPLMedicinalProductDefinition","Internal"
